1,1001,134000
1,135001,224000
1,450001,641000
2,1001,160000
2,779001,948000
3,1001,112000
3,986001,1068000
4,1001,200000
4,907001,1025000
4,1026001,1201000
5,1001,97000
6,1001,106000
6,1280001,1419000
7,1001,200000
7,492001,617000
7,1255001,1446000
8,1001,117000
8,420001,507000
8,1256001,1455000
9,1001,151000
9,1368001,1542000
10,1001,159000
10,959001,1045000
10,1496001,1688000
11,1001,162000
11,843001,940000
11,1907001,2039000
12,1001,105000
12,1142001,1227000
12,2106001,2272000
13,1001,150000
13,1160001,1242000
13,1398001,1485000
13,2496001,2603000
13,2778001,2926000
14,1001,85000
14,760001,843000
14,3076001,3275000
