
1,29510,37126,PF3D7_0100100.1,OG0001919
1,38982,40207,PF3D7_0100200.1,OG0001027
1,42367,46507,PF3D7_0100300.1,OG0018673
1,50363,51636,PF3D7_0100400.1,OG0001643
1,53169,53280,PF3D7_0100500.1,no_tree
1,53778,55006,PF3D7_0100600.1,OG0005616
1,56690,56893,PF3D7_0100700.1,OG0003438
1,59772,61003,PF3D7_0100800.1,OG0001027
1,62187,63400,PF3D7_0100900.1,OG0001643
1,65817,66989,PF3D7_0101000.1,OG0001643
1,69304,70417,PF3D7_0101100.1,OG0010739
1,71624,72426,PF3D7_0101200.1,OG0008942
1,74295,75622,PF3D7_0101300.1,OG0004656
1,75982,76809,PF3D7_0101400.1,no_tree
1,78241,79891,PF3D7_0101500.1,no_tree
1,81765,83106,PF3D7_0101600.1,OG0001643
1,84791,86152,PF3D7_0101700.1,no_tree
1,87203,88177,PF3D7_0101800.1,OG0003906
1,90242,91420,PF3D7_0101900.1,OG0005616
1,93113,93875,PF3D7_0102000.1,no_tree
1,95050,95899,PF3D7_0102100.1,no_tree
1,97590,103615,PF3D7_0102200.1,OG0012349
1,104058,105792,PF3D7_0102300.1,OG0022829
1,107197,108348,PF3D7_0102400.1,no_tree
1,109005,117516,PF3D7_0102500.1,OG0017339
1,118812,122534,PF3D7_0102600.1,OG0000547
1,124394,126213,PF3D7_0102700.1,OG0000468
1,125835,128373,PF3D7_0102800.1,OG0007973
1,128569,131554,PF3D7_0102900.1,OG0000663
1,131609,134133,PF3D7_0103000.1,OG0006729
1,134155,140371,PF3D7_0103100.1,OG0002061
1,140494,143049,PF3D7_0103200.1,OG0007113
1,143389,146959,PF3D7_0103300.1,OG0004528
1,147031,152795,PF3D7_0103400.1,OG0000171
1,153669,160630,PF3D7_0103500.1,OG0008435
1,160673,166273,PF3D7_0103600.1,OG0009356
1,166497,168687,PF3D7_0103700.1,OG0006393
1,168768,171442,PF3D7_0103800.1,OG0000022
1,172470,175055,PF3D7_0103900.1,OG0003299
1,175609,176376,PF3D7_0104000.1,OG0008517
